1,"John F Kennedy Assassination",1963-11-22 0:00:00,"Political","1960"
2,"North Vietnam Peace Agreement",1973-1-27 0:00:00,"War","1970"
3,"Robert Kennedy Assassination",1968-6-6 0:00:00,"Political","1960"
4,"Martin Luther King, Jr. Assassination",1968-4-4 0:00:00,"Political","1960"
5,"World Trade Center",2001-9-11 0:00:00,"Terrorism","2000"
6,"Challenger shuttle explodes 73 seconds after liftoff",1986-1-28 0:00:00,"Space","1980"
7,"Pearl Harbor",1941-12-7 0:00:00,"War","1940"
8,"""Casablanca"" premieres",1942-11-26 0:00:00,"Entertainment","1940"
11,"George Wallace shot",1972-5-15 0:00:00,"Political","1970"
12,"President Richard Nixon resigned",1974-8-9 0:00:00,"Political","1970"
13,"Woodstock concert begins",1969-8-15 0:00:00,"Entertainment","1960"
14,"Stonewall riot in New York",1969-6-28 0:00:00,"News","1960"
15,"Chappaquiddick",1969-7-18 0:00:00,"News","1960"
16,"Train wreck near Nashville kills 101 people",1918-7-9 0:00:00,"Disaster","1910"
17,"Apollo 1 flash fire kills three astronauts: Chaffee, Grissom & White",1967-1-27 0:00:00,"Space","1960"
20,"Kansas City Hyatt Regency walkway collapses, 113 killed",1981-7-18 0:00:00,"News","1980"
21,"Coconut Grove nightclub fire kills 491",1942-11-28 0:00:00,"Disaster","1940"
22,"Charles Schultz introduces Peanuts",1950-1-1 0:00:00,"News","1950"
23,"Little Rock Nine",1957-9-24 0:00:00,"Civil Rights","1950"
24,"Yul Brenner first appears in the King and I",1951-3-29 0:00:00,"Entertainment","1950"
25,"Rosenbergs executed",1953-6-19 0:00:00,"News","1950"
26,"Dalai Lama escapes to India",1959-3-31 0:00:00,"News","1950"
27,"John Glenn orbits Earth",1962-2-20 0:00:00,"Space","1960"
28,"""I Have A Dream Speech""",1963-8-28 0:00:00,"Civil Rights","1960"
29,"First artificial heart implant",1963-4-21 0:00:00,"Medical","1960"
30,"Nelson Mandela sentenced to life imprisonment",1964-6-11 0:00:00,"Political","1960"
31,"John Lennon murdered",1980-12-8 0:00:00,"Crime","1980"
32,"Walt Disney dies at age 65",1966-12-15 0:00:00,"Obituary","1960"
33,"Thurgood Marshall becomes Supreme Court Justice",1967-10-2 0:00:00,"News","1960"
34,"My Lai massacre",1968-3-16 0:00:00,"War","1960"
35,"Kent State",1970-5-4 0:00:00,"War","1970"
36,"Jimi Hendrix dies at age 27",1970-9-18 0:00:00,"Obituary","1970"
37,"Watergate break-in",1972-6-17 0:00:00,"Political","1970"
39,"Jimmy Carter elected President",1976-11-2 0:00:00,"Political","1970"
40,"Elvis Presley dies at age 42",1977-8-16 0:00:00,"Obituary","1970"
41,"Jonestown mass suicides",1978-11-18 0:00:00,"News","1970"
42,"Ronald Reagan elected President",1980-11-4 0:00:00,"Political","1980"
43,"Anwar el-Sadat assassinated",1981-10-6 0:00:00,"Political","1980"
44,"President Reagan shot",1981-3-30 0:00:00,"Crime","1980"
45,"John Belushi, 33,  dies of heroin overdose",1982-3-5 0:00:00,"Obituary","1980"
46,"Crack cocaine developed in Bahamas",1983-1-1 0:00:00,"News","1980"
47,"Indira Ghandi assassinated",1984-10-31 0:00:00,"Political","1980"
48,"Rock Hudson dies of AIDS at age 59",1985-10-2 0:00:00,"Obituary","1980"
49,"Mother delivers first test-tube baby",1978-7-25 0:00:00,"Medical","1970"
51,"AIDS virus identified",1983-1-1 0:00:00,"Medical","1980"
